timestamp	run_id	phase	mean_us	std_us	tracking_mean_us	status	description
2026-04-04T23:43:33-07:00	run-apr4-a-baseline-000	baseline	9024.601	15.981	13188.246	keep	baseline zero-change run at 1M particles (runs=40 warmup=10)
2026-04-04T23:54:47-07:00	run-apr4-a-large-001	large	9018.958	13.014	13009.189	keep	likelihood hot-path caching plus powf-to-mul in z-offset prediction
2026-04-05T00:00:25-07:00	run-apr4-a-large-002	large	9017.437	41.027	13034.218	discard	trig-reduced predicted_plates initial run had unacceptable std regression
2026-04-05T00:00:25-07:00	run-apr4-a-large-002-rerun	large	9003.638	8.513	13011.245	keep	trig-reduced predicted_plates rerun validated improvement and stability
2026-04-05T00:04:43-07:00	run-apr4-a-large-003	large	9004.182	19.302	13013.579	discard	manual reduction candidate selection regressed mean and std vs best kept state
2026-04-05T00:08:16-07:00	run-apr4-a-large-002-confirm	large	9004.233	9.587	13040.349	keep	post-revert confirmation of kept large-001 plus large-002 state
2026-04-05T08:29:09-07:00	run-apr5-a-large-004	large	7961.264	15.950	11915.307	keep	position-only predicted plate path in likelihood; skip unused velocity math
2026-04-05T08:29:09-07:00	run-apr5-a-large-004-rerun	large	7979.017	18.909	11932.073	keep	stability rerun for position-only predicted plate path
2026-04-05T08:34:17-07:00	run-apr5-a-large-005	large	7960.478	10.795	12070.884	keep	precomputed sigma values and sigma-based sampling to avoid repeated sqrt in process/sample paths
2026-04-05T08:34:17-07:00	run-apr5-a-large-005-rerun	large	7948.616	19.532	11922.715	keep	stability rerun for sigma-precompute sampling change
2026-04-05T08:39:42-07:00	run-apr5-a-large-006	large	7945.282	13.732	11910.530	keep	use precomputed diagonal precision in likelihood density evaluation
2026-04-05T08:39:42-07:00	run-apr5-a-large-006-rerun	large	7914.040	10.746	11883.999	keep	stability rerun for precomputed precision likelihood optimization
2026-04-05T08:49:43-07:00	run-apr5-a-large-007	large	8193.576	9.697	12160.057	discard	cached observed-plate precision plus radius-based visibility denominator regressed update mean substantially
2026-04-05T08:49:43-07:00	run-apr5-a-large-007-revert-confirm	large	7930.893	18.352	11890.238	keep	post-discard rollback confirmation near best kept large-006 state
2026-04-05T08:57:28-07:00	run-apr5-a-large-008	large	7744.470	10.112	14406.974	discard	deferred resample gather via index-carry improved update-only benchmark but caused major tracking-iteration regression
2026-04-05T09:01:45-07:00	run-apr5-a-large-008-revert-confirm	large	7935.735	9.205	11891.010	keep	post-discard rollback confirmation restored balanced update and tracking metrics
2026-04-05T09:06:10-07:00	run-apr5-a-large-009	large	7917.926	14.004	11862.867	discard	reduced configuration capture footprint was close but did not improve update mean versus best kept state
2026-04-05T09:06:10-07:00	run-apr5-a-large-009-rerun	large	7922.998	20.552	11872.892	discard	stability rerun confirmed no primary-metric win over best kept configuration
2026-04-05T09:08:54-07:00	run-apr5-a-large-009-revert-confirm	large	7918.187	8.597	11860.723	keep	post-discard rollback confirmation remained near best update mean with strong stability
2026-04-05T09:12:49-07:00	run-apr5-a-large-010	large	7902.611	14.521	11843.571	discard	scalarized orientation-candidate reduction looked promising initially but did not hold across reruns
2026-04-05T09:12:49-07:00	run-apr5-a-large-010-rerun	large	7940.276	83.700	11873.196	discard	first stability rerun showed large variance and mean regression
2026-04-05T09:12:49-07:00	run-apr5-a-large-010-rerun2	large	7913.665	30.540	11847.382	discard	second rerun returned near-best mean but still elevated variance
2026-04-05T09:12:49-07:00	run-apr5-a-large-010-rerun3	large	7920.029	23.129	11883.920	discard	fourth sample did not confirm consistent primary-metric gain
